Cod_SBS,Cod_Emp,Tip_Credit,Nivel2,Moneda,SubCodigoCuenta,Condicion,Val_Saldo,Clasif_Deu,Cod_Cuenta
0112495746,00001,10,72,1,50602000000,000000,0000,0,72150602000000
0112495746,00001,10,81,1,93702010000,000000,0000,0,81193702010000
0112495746,00001,10,14,1,10206020000,000000,0000,0,14110206020000
0112495746,00001,10,29,1,10201000000,000000,0000,0,29110201000000
0112495746,00001,10,81,1,80102020000,000000,0000,0,81180102020000
0112495746,00001,10,14,1,80200000000,000000,0000,0,14180200000000
0112495746,00001,10,81,1,80102010000,000000,0000,0,81180102010000
0112495746,00001,10,14,1,10202010000,000000,0000,0,14110202010000
0112495746,00001,10,84,1,40511000000,000000,0000,0,84140511000000
0101647200,00001,10,14,1,10202010000,000000,0000,0,14110202010000
0101647200,00001,10,72,1,50602000000,000000,0000,0,72150602000000
0101647200,00004,99,84,2,40209000000,276000,0000,0,84240209000000
0101647200,00001,10,14,1,80200000000,000000,0000,0,14180200000000
0140371998,00001,10,81,1,30200000000,308600,0000,0,81130200000000
0100748207,00001,09,81,1,30200000000,256400,0000,0,81130200000000
0100748207,00278,10,81,1,92500000000,132800,0000,0,81192500000000
0114323357,00488,09,81,1,30200000000,228200,0000,0,81130200000000
0114323357,00001,09,81,1,30200000000,321900,0000,0,81130200000000
0095126405,00001,09,81,1,80113010000,000000,0000,0,81180113010000
0095126405,00001,09,84,1,40511000000,000000,0000,0,84140511000000
0095126405,00001,09,84,2,40201020000,051900,0000,0,84240201020000
0095126405,00001,09,14,1,11306090000,000000,0000,0,14111306090000
0095126405,00001,09,14,1,81300000000,000000,0000,0,14181300000000
0095126405,00001,09,81,1,80113020000,000000,0000,0,81180113020000
0126566280,00006,09,84,2,40201020000,000000,0000,0,84240201020000
0126566280,00006,09,14,1,11306020000,000000,0000,0,14111306020000
0126566280,00006,09,81,1,80113010000,000000,0000,0,81180113010000
0126566280,00006,09,81,1,80113020000,000000,0000,0,81180113020000
0126566280,00006,09,84,1,41000000000,000000,0000,0,84141000000000
0126566280,00006,09,14,1,81300000000,000000,0000,0,14181300000000
0126566280,00006,09,84,1,40511000000,000000,0000,0,84140511000000
0126566280,00006,09,72,1,50613000000,000000,0000,0,72150613000000
0164241521,00220,08,84,1,41000000000,000000,0000,0,84141000000000
0164241521,00220,08,71,1,20000000000,000000,0000,0,71120000000000
0118044487,00001,09,81,1,80113010000,000000,0000,0,81180113010000
0118044487,00001,09,29,1,10201000000,000000,0000,0,29110201000000
0118044487,00001,09,14,1,11306020000,000000,0000,0,14111306020000
0118044487,00001,09,81,1,80113020000,000000,0000,0,81180113020000
0118044487,00001,09,84,1,40511000000,000000,0000,0,84140511000000
0103278511,00001,10,81,1,30200000000,329600,0000,0,81130200000000
0136472470,00001,09,14,1,81300000000,000000,0000,0,14181300000000
0136472470,00001,09,14,1,11306090000,000000,0000,0,14111306090000
0136472470,00001,09,84,2,40201020000,032700,0000,0,84240201020000
0136472470,00001,09,81,1,80113010000,000000,0000,0,81180113010000
0136472470,00001,09,81,1,80113020000,000000,0000,0,81180113020000
0136472470,00001,09,84,1,40511000000,000000,0000,0,84140511000000
0136472470,00001,09,84,2,40900000000,000000,0000,0,84240900000000
0106924783,00006,08,14,1,11206020000,000000,0000,0,14111206020000
0106924783,00006,08,84,1,41000000000,000000,0000,0,84141000000000
0106924783,00001,08,81,1,80112020000,000000,0000,0,81180112020000
0106924783,00006,08,84,2,40201020000,000000,0000,0,84240201020000
0106924783,00006,08,81,1,80112010000,000000,0000,0,81180112010000
0106924783,00006,08,81,1,93712010000,000000,0000,0,81193712010000
0106924783,00006,08,84,1,40511000000,000000,0000,0,84140511000000
0106924783,00001,08,84,1,40511000000,000000,0000,0,84140511000000
0106924783,00001,08,14,1,11206020000,000000,0000,0,14111206020000
0106924783,00001,08,81,1,80112010000,000000,0000,0,81180112010000
0106924783,00006,08,72,1,50312000000,000000,0000,0,72150312000000
0106924783,00001,08,14,1,81200000000,112100,0000,0,14181200000000
0106924783,00006,08,81,1,80112020000,000000,0000,0,81180112020000
0106924783,00006,08,14,1,11206010000,000000,0000,0,14111206010000
0106924783,00006,08,14,1,81200000000,000000,0000,0,14181200000000
0106924783,00001,08,29,1,10201000000,000000,0000,0,29110201000000
0099096730,00001,09,81,1,30200000000,277800,0000,0,81130200000000
0099096730,00001,09,81,1,30200000000,141500,0000,0,81130200000000
0099096730,00001,09,84,2,40201020000,070000,0000,0,84240201020000
0098083952,00006,08,72,1,50612000000,000000,0000,0,72150612000000
0098083952,00001,08,14,1,11206020000,000000,0000,0,14111206020000
0098083952,00001,08,81,1,80112020000,000000,0000,0,81180112020000
0098083952,00001,08,84,1,40511000000,000000,0000,0,84140511000000
0098083952,00004,08,84,1,41000000000,000000,0000,0,84141000000000
0098083952,00001,08,81,1,93712010000,000000,0000,0,81193712010000
0098083952,00001,08,29,1,10201000000,000000,0000,0,29110201000000
0098083952,00004,08,81,1,93712010000,000000,0000,0,81193712010000
0098083952,00006,08,14,1,11202000000,000000,0000,0,14111202000000
0098083952,00006,08,14,1,11206020000,000000,0000,0,14111206020000
0098083952,00004,08,14,1,11206020000,000000,0000,0,14111206020000
0098083952,00001,08,81,1,80112010000,000000,0000,0,81180112010000
0098083952,00006,08,81,1,93712010000,000000,0000,0,81193712010000
0098083952,00006,08,14,1,81200000000,000000,0000,0,14181200000000
0098083952,00006,08,72,1,50312000000,000000,0000,0,72150312000000
0098083952,00004,08,14,1,81200000000,000000,0000,0,14181200000000
0107079149,00004,99,15,2,50900000000,000000,0000,0,15250900000000
0101343588,00006,99,84,2,40201020000,000000,0000,0,84240201020000
0108084367,00006,99,15,2,50900000000,000000,0000,0,15250900000000
0157694413,00001,09,14,1,11306020000,000000,0000,0,14111306020000
0157694413,00001,09,81,1,93713010000,000000,0000,0,81193713010000
0157694413,00001,09,14,1,81300000000,000000,0000,0,14181300000000
0157694413,00001,09,84,2,40201020000,019500,0000,0,84240201020000
0118107080,00006,09,14,1,81300000000,000000,0000,0,14181300000000
0118107080,00006,09,84,1,40511000000,000000,0000,0,84140511000000
0118107080,00006,09,14,1,11306020000,000000,0000,0,14111306020000
0118107080,00006,09,81,1,80113010000,000000,0000,0,81180113010000
0118107080,00006,09,84,1,41000000000,000000,0000,0,84141000000000
0118107080,00006,09,81,1,80113020000,000000,0000,0,81180113020000
0107622489,00123,09,84,1,40900000000,000000,0000,0,84140900000000
0107622489,00123,09,81,1,93713010000,000000,0000,0,81193713010000
0107622489,00001,09,81,1,80113020000,000000,0000,0,81180113020000
0107622489,00001,09,72,1,50613000000,000000,0000,0,72150613000000
0107622489,00123,09,14,1,81300000000,000000,0000,0,14181300000000
0107622489,00123,09,29,1,10205000000,000000,0000,0,29110205000000
0107622489,00001,09,14,1,11306020000,000000,0000,0,14111306020000
0107622489,00001,09,84,1,40511000000,000000,0000,0,84140511000000
0107622489,00123,09,14,1,11306020000,000000,0000,0,14111306020000
0107622489,00001,09,14,1,11302000000,000000,0000,0,14111302000000
0107622489,00001,09,81,1,80113010000,000000,0000,0,81180113010000
0107622489,00001,09,14,1,81300000000,000000,0000,0,14181300000000
0107622489,00001,09,81,1,93713010000,000000,0000,0,81193713010000
0107622489,00001,09,29,1,10201000000,000000,0000,0,29110201000000
0107622489,00123,09,84,1,41000000000,000000,0000,0,84141000000000
0130843514,00001,09,14,2,11304000000,000000,0000,0,14211304000000
0130843514,00001,09,14,1,11304000000,000000,0000,0,14111304000000
0130843514,00001,09,81,1,80113020000,000000,0000,0,81180113020000
0130843514,00001,09,14,1,81300000000,000000,0000,0,14181300000000
0130843514,00001,09,84,1,40511000000,000000,0000,0,84140511000000
0130843514,00001,09,81,1,80113010000,000000,0000,0,81180113010000
0130843514,00001,09,14,1,11306090000,000000,0000,0,14111306090000
0100324644,00001,09,81,1,30200000000,325200,0000,0,81130200000000
0100324644,00486,09,81,1,30200000000,113600,0000,0,81130200000000
0110759355,00001,10,14,1,10204000000,000000,0000,0,14110204000000
0110759355,00001,10,14,1,90201000000,000000,0000,0,14190201000000
0132674337,00006,09,14,1,11306020000,000000,0000,0,14111306020000
0132674337,00004,08,81,1,80112010000,000000,0000,0,81180112010000
0132674337,00004,08,14,1,81200000000,000000,0000,0,14181200000000
0132674337,00006,09,81,1,80113020000,000000,0000,0,81180113020000
0132674337,00006,09,84,1,41000000000,000000,0000,0,84141000000000
0132674337,00006,09,81,1,80113010000,000000,0000,0,81180113010000
0132674337,00004,08,14,1,11206020000,000000,0000,0,14111206020000
0132674337,00006,09,84,1,40511000000,000000,0000,0,84140511000000
0132674337,00006,09,14,1,81300000000,000000,0000,0,14181300000000
0132674337,00004,08,84,2,41000000000,000000,0000,0,84241000000000
0132674337,00004,08,81,1,80112020000,000000,0000,0,81180112020000
0034210187,00006,08,84,2,40201020000,000000,0000,0,84240201020000
0034210187,00006,08,81,1,93712010000,000000,0000,0,81193712010000
0034210187,00006,08,72,1,50612000000,000000,0000,0,72150612000000
0034210187,00006,08,14,1,11211000000,000000,0000,0,14111211000000
0034210187,00006,08,84,1,40511000000,000000,0000,0,84140511000000
0034210187,00006,08,81,1,80112010000,000000,0000,0,81180112010000
0034210187,00006,08,14,2,11202000000,000000,0000,0,14211202000000
0034210187,00006,08,84,1,41000000000,000000,0000,0,84141000000000
0034210187,00006,08,81,1,80112020000,000000,0000,0,81180112020000
0034210187,00006,08,14,1,81200000000,000000,0000,0,14181200000000
0034210187,00006,08,14,1,11206020000,000000,0000,0,14111206020000
0034210187,00006,08,84,1,40209000000,000000,0000,0,84140209000000
0153387907,00006,08,72,1,50612000000,000000,0000,0,72150612000000
0153387907,00006,08,15,1,50900000000,000000,0000,0,15150900000000
0153387907,00006,08,14,1,11206020000,000000,0000,0,14111206020000
0153387907,00006,08,84,2,40201020000,000000,0000,0,84240201020000
0153387907,00006,08,84,1,41000000000,000000,0000,0,84141000000000
0153387907,00006,08,14,1,11202000000,000000,0000,0,14111202000000
0153387907,00006,08,14,1,81200000000,000000,0000,0,14181200000000
0120286030,00001,09,72,1,50613000000,000000,0000,0,72150613000000
0120286030,00006,09,14,1,81300000000,000000,0000,0,14181300000000
0120286030,00006,09,84,1,40511000000,000000,0000,0,84140511000000
0120286030,00006,09,81,1,80113020000,000000,0000,0,81180113020000
0120286030,00006,09,81,1,80113010000,000000,0000,0,81180113010000
0120286030,00006,09,84,1,41000000000,000000,0000,0,84141000000000
0120286030,00006,09,14,1,11306020000,000000,0000,0,14111306020000
0130849423,00001,08,14,1,81200000000,000000,0000,0,14181200000000
0130849423,00001,08,29,1,10201000000,000000,0000,0,29110201000000
0130849423,00006,08,81,1,80112010000,000000,0000,0,81180112010000
0130849423,00001,08,81,1,80112020000,000000,0000,0,81180112020000
0130849423,00001,08,84,2,40201020000,031300,0000,0,84240201020000
0130849423,00006,08,84,1,40511000000,000000,0000,0,84140511000000
0130849423,00001,08,81,1,80112010000,000000,0000,0,81180112010000
0130849423,00001,08,84,1,40511000000,000000,0000,0,84140511000000
0130849423,00006,08,81,1,80112020000,000000,0000,0,81180112020000
0130849423,00006,08,14,1,81200000000,000000,0000,0,14181200000000
0130849423,00001,08,72,1,50612000000,000000,0000,0,72150612000000
0130849423,00006,08,84,1,41000000000,000000,0000,0,84141000000000
0130849423,00001,08,14,1,11206020000,000000,0000,0,14111206020000
0130849423,00006,08,14,1,11206020000,000000,0000,0,14111206020000
0066644430,00126,99,84,2,41000000000,000000,0000,0,84241000000000
0066644430,00002,99,84,2,40208000000,000000,0000,0,84240208000000
0116038781,00002,08,14,1,91201000000,143200,0000,0,14191201000000
0116038781,00002,08,14,1,61206020000,143200,0000,0,14161206020000
0116038781,00002,08,29,1,10106000000,143200,0000,0,29110106000000
0116038781,00002,08,84,1,41000000000,000000,0000,0,84141000000000
0116038781,00001,08,81,1,30200000000,261300,0000,0,81130200000000
0116038781,00002,08,84,2,40201020000,249900,0000,0,84240201020000
0132719071,00004,09,14,1,91301000000,000000,0000,0,14191301000000
0132719071,00004,09,14,1,61306020000,195700,0000,0,14161306020000
0132719071,00396,09,14,1,61306020000,210200,0000,0,14161306020000
0132719071,00396,09,14,1,91301000000,210200,0000,0,14191301000000
0136014854,00001,10,14,1,90201000000,000000,0000,0,14190201000000
0136014854,00001,10,81,1,93702010000,000000,0000,0,81193702010000
0136014854,00001,10,14,1,10202010000,002400,0000,0,14110202010000
0136014854,00001,10,14,1,10202090000,002400,0000,0,14110202090000
0136014854,00001,10,14,1,80200000000,002400,0000,0,14180200000000
0136014854,00001,10,72,1,50602000000,000000,0000,0,72150602000000
0103296552,00001,09,81,1,30200000000,345700,0000,0,81130200000000
0103296552,00006,99,15,2,50900000000,000000,0000,0,15250900000000
0144816773,00001,09,81,1,30200000000,222800,0000,0,81130200000000
0135434078,00001,10,29,1,10201000000,000000,0000,0,29110201000000
0135434078,00103,10,84,1,41000000000,000000,0000,0,84141000000000
0135434078,00103,10,14,1,80200000000,000000,0000,0,14180200000000
0135434078,00001,10,14,1,10206020000,000000,0000,0,14110206020000
0135434078,00001,10,81,1,80102020000,000000,0000,0,81180102020000
0135434078,00103,99,84,1,40900000000,000000,0000,0,84140900000000
0135434078,00001,10,81,1,80102010000,000000,0000,0,81180102010000
0135434078,00103,10,81,1,93702010000,000000,0000,0,81193702010000
0135434078,00103,10,14,1,10206020000,000000,0000,0,14110206020000
0135434078,00001,10,84,1,40511000000,000000,0000,0,84140511000000
0124535719,00006,09,72,1,50613000000,000000,0000,0,72150613000000
0124535719,00006,09,81,1,93713010000,000000,0000,0,81193713010000
0124535719,00006,09,14,1,91301000000,000000,0000,0,14191301000000
0124535719,00006,09,81,1,93905020000,000000,0000,0,81193905020000
0124535719,00006,09,14,1,51302000000,009700,0000,0,14151302000000
0124535719,00006,09,81,1,93905010000,000000,0000,0,81193905010000
0124535719,00006,09,15,1,50900000000,000000,0000,0,15150900000000
0124535719,00006,09,84,1,40512000000,000000,0000,0,84140512000000
0098096795,00001,08,14,1,11202000000,000000,0000,0,14111202000000
0098096795,00001,08,81,1,80112010000,000000,0000,0,81180112010000
0098096795,00001,08,29,1,10201000000,000000,0000,0,29110201000000
0098096795,00001,08,14,1,81200000000,000000,0000,0,14181200000000
0098096795,00006,08,84,1,41000000000,000000,0000,0,84141000000000
0098096795,00001,08,81,1,80112020000,000000,0000,0,81180112020000
0098096795,00001,08,84,1,40511000000,000000,0000,0,84140511000000
0098096795,00006,08,14,1,81200000000,000000,0000,0,14181200000000
0098096795,00001,08,72,1,50612000000,000000,0000,0,72150612000000
0098096795,00001,08,81,1,93712010000,000000,0000,0,81193712010000
0098096795,00001,08,84,2,40201020000,004700,0000,0,84240201020000
0098096795,00001,08,84,2,40201020000,019500,0000,0,84240201020000
0098096795,00006,08,14,1,11206020000,000000,0000,0,14111206020000
0098096795,00006,08,84,2,40201020000,000000,0000,0,84240201020000
0098096795,00001,08,14,1,11206020000,000000,0000,0,14111206020000
0094045878,00006,09,81,1,80113010000,000000,0000,0,81180113010000
0094045878,00006,09,84,1,40511000000,000000,0000,0,84140511000000
0094045878,00006,09,14,1,81300000000,000000,0000,0,14181300000000
0094045878,00006,09,84,1,41000000000,000000,0000,0,84141000000000
0094045878,00006,09,81,1,80113020000,000000,0000,0,81180113020000
0094045878,00006,09,14,1,11306020000,000000,0000,0,14111306020000
0104715974,00001,09,81,1,30200000000,160300,0000,0,81130200000000
0104715974,00001,09,81,1,30200000000,073600,0000,0,81130200000000
0102666461,00001,09,84,2,40201020000,019500,0000,0,84240201020000
0102666461,00001,09,14,1,91301000000,000000,0000,0,14191301000000
0102666461,00001,09,14,1,61306020000,191900,0000,0,14161306020000
0102666461,00001,09,14,1,61306090000,191000,0000,0,14161306090000
0100785846,00001,09,81,1,30200000000,436700,0000,0,81130200000000
0113525711,00004,08,84,2,41000000000,000000,0000,0,84241000000000
0113525711,00004,08,81,1,80112010000,000000,0000,0,81180112010000
0113525711,00004,08,84,1,40511000000,000000,0000,0,84140511000000
0113525711,00001,08,84,1,41000000000,000000,0000,0,84141000000000
0113525711,00001,08,84,1,40201020000,019500,0000,0,84140201020000
0113525711,00004,08,81,1,80112020000,000000,0000,0,81180112020000
0113525711,00004,08,84,1,40209000000,000000,0000,0,84140209000000
0113525711,00001,08,14,1,11206020000,000000,0000,0,14111206020000
0113525711,00004,08,14,1,11211000000,000000,0000,0,14111211000000
0113525711,00001,08,81,1,80112010000,000000,0000,0,81180112010000
0113525711,00001,08,29,1,10201000000,000000,0000,0,29110201000000
0113525711,00001,08,84,1,40511000000,000000,0000,0,84140511000000
0113525711,00184,08,84,2,40201020000,000000,0000,0,84240201020000
0113525711,00001,08,84,2,40201020000,019500,0000,0,84240201020000
0113525711,00004,08,14,1,11206020000,000000,0000,0,14111206020000
0113525711,00004,08,14,1,81200000000,000000,0000,0,14181200000000
0113525711,00001,08,14,1,81200000000,000000,0000,0,14181200000000
0113525711,00001,08,81,1,80112020000,000000,0000,0,81180112020000
0121918161,00004,10,16,1,20301000000,000000,0000,0,16120301000000
0121918161,00004,10,16,1,20302000000,000000,0000,0,16120302000000
0121918161,00004,10,16,1,90200000000,000000,0000,0,16190200000000
0121918161,00004,10,81,1,30200000000,021000,0000,0,81130200000000
0102411366,00001,10,81,1,30200000000,325200,0000,0,81130200000000
0127598860,00001,10,72,1,50602000000,000000,0000,0,72150602000000
0136361139,00006,10,72,1,50602000000,000000,0000,0,72150602000000
0096776055,00001,08,14,1,81200000000,000000,0000,0,14181200000000
0096776055,00006,08,14,1,11206020000,000000,0000,0,14111206020000
0096776055,00001,08,81,1,93712010000,000000,0000,0,81193712010000
0096776055,00006,08,84,1,40511000000,000000,0000,0,84140511000000
0096776055,00001,08,84,1,40511000000,000000,0000,0,84140511000000
0096776055,00001,08,81,1,80112010000,000000,0000,0,81180112010000
0096776055,00001,08,84,2,40201020000,044800,0000,0,84240201020000
0096776055,00001,08,14,1,11206020000,000000,0000,0,14111206020000
0096776055,00001,08,81,1,80112020000,000000,0000,0,81180112020000
0096776055,00006,08,14,1,81200000000,000000,0000,0,14181200000000
0096776055,00001,08,29,1,10201000000,000000,0000,0,29110201000000
0096776055,00006,08,84,1,41000000000,000000,0000,0,84141000000000
0096776055,00006,08,81,1,80112010000,000000,0000,0,81180112010000
0096776055,00006,08,81,1,80112020000,000000,0000,0,81180112020000
0096776055,00001,08,84,1,41000000000,000000,0000,0,84141000000000
0163460726,00001,10,72,1,50602000000,000000,0000,0,72150602000000
0145401283,00001,10,81,1,80102020000,000000,0000,0,81180102020000
0145401283,00001,10,14,1,10206020000,000000,0000,0,14110206020000
0145401283,00001,10,84,1,40511000000,000000,0000,0,84140511000000
0145401283,00001,10,14,1,80200000000,000000,0000,0,14180200000000
0145401283,00001,10,81,1,80102010000,000000,0000,0,81180102010000
0145401283,00001,10,72,1,50602000000,000000,0000,0,72150602000000
0145401283,00001,10,84,2,40900000000,000000,0000,0,84240900000000
0112550712,00001,09,81,1,30200000000,362700,0000,0,81130200000000
0123556704,00001,10,14,1,10204000000,000000,0000,0,14110204000000
0107703063,00001,08,14,1,81200000000,000000,0000,0,14181200000000
0107703063,00082,08,14,1,11206020000,000000,0000,0,14111206020000
0107703063,00082,08,84,1,40208000000,094300,0000,0,84140208000000
0107703063,00185,08,14,2,11206020000,000000,0000,0,14211206020000
0107703063,00185,08,84,2,41000000000,000000,0000,0,84241000000000
0107703063,00082,08,29,1,10201000000,000000,0000,0,29110201000000
0107703063,00055,08,84,2,41000000000,000000,0000,0,84241000000000
0107703063,00082,08,14,1,81200000000,000000,0000,0,14181200000000
0107703063,00185,08,14,2,81200000000,000000,0000,0,14281200000000
0107703063,00185,08,84,2,40209000000,000000,0000,0,84240209000000
0107703063,00082,08,84,2,41000000000,000000,0000,0,84241000000000
0107703063,00001,08,14,1,11202000000,000000,0000,0,14111202000000
0107703063,00082,08,81,1,93712010000,000000,0000,0,81193712010000
0107703063,00006,08,72,1,50612000000,000000,0000,0,72150612000000
0107703063,00185,08,81,2,93712010000,000000,0000,0,81293712010000
0107703063,00082,08,84,1,40208000000,000000,0000,0,84140208000000
0107703063,00184,08,84,2,40209000000,000000,0000,0,84240209000000
0107703063,00184,08,84,2,40208000000,000000,0000,0,84240208000000
0107703063,00082,08,84,2,40201020000,068700,0000,0,84240201020000
0107703063,00185,08,14,2,91205000000,000000,0000,0,14291205000000
0107703063,00082,08,81,1,80112010000,000000,0000,0,81180112010000
0107703063,00082,08,84,1,40511000000,000000,0000,0,84140511000000
0107703063,00082,08,14,1,11211000000,000000,0000,0,14111211000000
0107703063,00185,08,84,2,40900000000,000000,0000,0,84240900000000
0107703063,00001,08,72,1,50612000000,000000,0000,0,72150612000000
0107703063,00001,08,81,1,93712010000,000000,0000,0,81193712010000
0132624356,00123,09,84,1,41000000000,000000,0000,0,84141000000000
0132624356,00006,09,81,1,80113020000,000000,0000,0,81180113020000
0132624356,00006,09,14,1,11306020000,000000,0000,0,14111306020000
0132624356,00006,09,81,1,80113010000,000000,0000,0,81180113010000
0132624356,00123,09,84,1,40900000000,000000,0000,0,84140900000000
0132624356,00006,09,84,1,41000000000,000000,0000,0,84141000000000
0132624356,00006,09,14,1,81300000000,000000,0000,0,14181300000000
0132624356,00123,09,14,1,11306020000,000000,0000,0,14111306020000
0132624356,00123,09,14,1,81300000000,000000,0000,0,14181300000000
0132624356,00006,09,84,1,40511000000,000000,0000,0,84140511000000
0102358384,00001,09,81,1,80113010000,000000,0000,0,81180113010000
0102358384,00001,09,72,1,50613000000,000000,0000,0,72150613000000
0102358384,00001,09,14,1,11302000000,000000,0000,0,14111302000000
0102358384,00001,09,14,1,81300000000,000000,0000,0,14181300000000
0102358384,00001,09,29,1,10201000000,000000,0000,0,29110201000000
0102358384,00001,09,81,1,93713010000,000000,0000,0,81193713010000
